geoCluster,SKU,ID,date,price,sales
92,16649,31,31,1,1
92,32485,1,1,1,1
92,32549,1,1,1,1
92,440815,4,4,2,2
112,16649,76,76,1,1
112,32485,40,40,1,1
112,32550,33,33,1,1
113,39465,2,2,2,2
117,16649,62,62,1,1
131,32485,77,77,1,1
131,89074,28,28,1,1
148,208,68,68,5,5
148,32485,71,71,11,11
148,32490,50,50,1,1
148,32546,81,81,4,4
148,32549,54,54,2,2
148,32550,77,77,6,6
148,67802,73,73,1,1
148,134544,49,49,1,1
148,144184,77,77,1,1
148,369071,70,70,1,1
148,440815,65,65,1,1
148,521941,49,49,1,1
148,567970,52,52,2,2
148,660399,62,62,2,2
148,690818,55,55,1,1
148,711838,72,72,1,1
148,819149,54,54,1,1
148,819150,53,53,1,1
162,503007,12,12,1,1
189,440815,38,38,1,1
189,534443,57,57,2,2
189,567970,144,144,1,1
199,208,48,48,1,1
260,32550,60,60,1,1
260,39465,83,83,1,1
260,134544,60,60,1,1
286,736357,58,58,1,1
286,736360,20,20,1,1
286,802382,75,75,4,4
286,819150,80,80,1,1
287,16649,13,13,1,1
288,67802,74,74,2,2
310,208,63,63,1,1
310,1008,67,67,1,1
310,16649,76,76,2,2
310,20872,59,59,1,1
310,32485,84,84,9,9
310,32490,77,77,1,1
310,32546,77,77,3,3
310,32550,68,68,2,2
310,39465,84,84,2,2
310,49207,71,71,1,1
310,134544,71,71,2,2
310,369071,67,67,1,1
310,440815,80,80,2,2
310,534443,62,62,1,1
310,802382,67,67,1,1
318,32485,55,55,1,1
323,24,125,125,1,1
323,208,61,61,1,1
323,20872,77,77,1,1
323,32546,125,125,1,1
323,39465,33,33,1,1
434,16649,13,13,1,1
440,16649,20,20,1,1
446,32485,77,77,3,3
468,369071,6,6,1,1
488,32485,29,29,1,1
488,32550,59,59,1,1
488,39465,76,76,1,1
491,16649,38,38,1,1
491,32485,38,38,1,1
491,32546,81,81,1,1
491,32550,1,1,1,1
491,39465,27,27,3,3
491,89074,12,12,1,1
491,134544,40,40,1,1
491,144184,5,5,1,1
491,612845,81,81,1,1
491,711838,6,6,2,2
496,32485,77,77,1,1
549,32485,34,34,1,1
549,32490,34,34,1,1
549,32549,34,34,1,1
549,534443,76,76,1,1
549,567970,44,44,4,4
549,802382,32,32,1,1
555,16649,41,41,1,1
555,32485,41,41,1,1
555,67802,2,2,1,1
